Control #,Rec #,Lang,Source Audio ISBN-13,Course,Unit Num,start,stop,QZ #,line #,Speaker,Cue,Transliteration,#of words,Q or S,Course Name (Source),Snippet Name,Skills
104,104,JP,9781442310964,Japanese 3,5,,,07R,,M,本を探しているんですが。,hon o sagashite iru n desu ga.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0104.mp3,"7,9"
105,105,JP,9781442310964,Japanese 3,5,,,08Q,,N,Which book are you looking for?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0105.mp3,9
106,106,JP,9781442310964,Japanese 3,5,,,08R,,F,どの本を探しているんですか。,dono hon o sagashite iru n desu ka.,8,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0106.mp3,9
107,107,JP,9781442310964,Japanese 3,5,,,09Q,,N,Which book is it?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0107.mp3,9
108,108,JP,9781442310964,Japanese 3,5,,,09R,,F,どの本ですか。,dono hon desu ka.,4,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0108.mp3,9
109,109,JP,9781442310964,Japanese 3,5,,,10Q,,N,It's a red book.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0109.mp3,9
110,110,JP,9781442310964,Japanese 3,5,,,10R,,M,赤い本です。,akai hon desu.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0110.mp3,9
111,111,JP,9781442310964,Japanese 3,5,,,11Q,,N,I saw it yesterday.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0111.mp3,"9,17"
112,112,JP,9781442310964,Japanese 3,5,,,11R,,F,昨日見ました。,kino mimashita.,2,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0112.mp3,"9,17"
113,113,JP,9781442310964,Japanese 3,5,,,12Q,,N,It's on the table.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0113.mp3,9
114,114,JP,9781442310964,Japanese 3,5,,,12R,,F,テーブルの上にあります。,teeburu no ue ni arimasu.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0114.mp3,9
115,115,JP,9781442310964,Japanese 3,5,,,13Q,,N,There's a notebook beside the book.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0115.mp3,9
116,116,JP,9781442310964,Japanese 3,5,,,13R,,F,本のそばにノートがあります。,hon no soba ni nooto ga arimasu.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0116.mp3,9
117,117,JP,9781442310964,Japanese 3,5,,,14Q,,N,It was under the table.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0117.mp3,9
118,118,JP,9781442310964,Japanese 3,5,,,14R,,F,テーブルの下にありました。,teeburu no shita ni arimashita.,5,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0118.mp3,9
119,119,JP,9781442310964,Japanese 3,5,,,15Q,,N,Which movie did you see?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0119.mp3,"1,9"
120,120,JP,9781442310964,Japanese 3,5,,,15R,,M,どの本を探しているんですか。,dono eiga o mimashita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0120.mp3,"1,9"
121,121,JP,9781442310964,Japanese 3,5,,,16Q,,N,I'm looking for my notebook.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0121.mp3,"9,16"
122,122,JP,9781442310964,Japanese 3,5,,,16R,,M,私のノートを探しているんですが。,watashi no nooto o sagashite iru n desu ga.,9,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0122.mp3,"9,16"
123,123,JP,9781442310964,Japanese 3,6,,,01Q,,N,"There's something under the table, for sure.",,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0123.mp3,9
124,124,JP,9781442310964,Japanese 3,6,,,01R,,F,テーブルの下に 何かありますよ。,teeburu no shita ni nanika arimasu yo.,7,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0124.mp3,9
125,125,JP,9781442310964,Japanese 3,6,,,02Q,,N,Did you make a hotel reservation?,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0125.mp3,"16,18"
126,126,JP,9781442310964,Japanese 3,6,,,02R,,F,ホテルを予約しましたか。,hoteru o yoyaku shimashita ka.,5,Q,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0126.mp3,"16,18"
127,127,JP,9781442310964,Japanese 3,6,,,03Q,,N,I have to make a reservation.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0127.mp3,"16,18"
128,128,JP,9781442310964,Japanese 3,6,,,03R,,M,予約しなくてはいけません。,yoyaku shinakutewa ikemasen.,3,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0128.mp3,"16,18"
129,129,JP,9781442310964,Japanese 3,6,,,04Q,,N,I haven't made the reservation yet.,,,,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0129.mp3,"16,18"
130,130,JP,9781442310964,Japanese 3,6,,,04R,,M,まだ予約していません。,mada yoyaku shite imasen.,4,S,Pimsleur Japanese Level 3 MP3,9781508222057_Japanese_3_QZ_0130.mp3,"16,18"
